Timestamp,Device ID,User ID,Location,Signal Strength (dBm),Access Point ID,Action
7/16/2024 12:01,DVC001,USER123,room1,-45,AP01,Connected
7/16/2024 12:05,DVC002,USER124,room2,-50,AP02,Connected
7/16/2024 12:10,DVC003,USER125,room3,-55,AP03,Connected
7/16/2024 12:12,DVC001,USER123,room4,-60,AP04,Hand-off
7/16/2024 12:15,DVC002,USER124,room5,-48,AP05,Hand-off
7/16/2024 12:18,DVC004,USER126,room6,-50,AP03,Connected
7/16/2024 12:20,DVC003,USER125,room7,-70,AP06,Hand-off
7/16/2024 12:25,DVC001,USER123,room8,-55,AP07,Hand-off
7/16/2024 12:30,DVC002,USER124,room9,-52,AP03,Hand-off
7/16/2024 12:35,DVC005,USER127,room10,-47,AP01,Connected
7/16/2024 12:40,DVC003,USER125,room11,-60,AP08,Hand-off
7/16/2024 12:45,DVC001,USER123,room12,-50,AP05,Hand-off
7/16/2024 12:50,DVC002,USER124,room13,-68,AP06,Hand-off
7/16/2024 12:55,DVC004,USER126,room14,-53,AP09,Hand-off
7/16/2024 12:59,DVC005,USER127,room15,-62,AP04,Hand-off
